A Revision of Philodendron Subgenus Philodendron (Araceae) for Mexico and Central America,Thomas,B,Croat,,Annals of the Missouri Botanical Garden,"Vol. 84, No. 3 (1997), pp. 311-704","Botany & Plant Sciences, Biological Sciences","philodendron, diam, spathe, specie, long, blade, vein, petiole, drying, apex, staminate, midrib, schott, cataphyll, lobe, weakly, grayum, green, paler, brenesii, reddish, surface, rio, locule, peduncle",0.9686
"The Supreme Court, 1987 Term",Stephen,L,Carter,,Harvard Law Review,"Vol. 102, No. 1 (Nov., 1988), pp. 1-141+143-358",Law,"sherbert, abortion, religious, clause, benefit, redistribution, worker, religion, unconstitutional, subsidy, unemployment, tax, court, justice, amish, constitutional, statute, government, state, program, brennan, exercise, system, case, medicaid",0.6858
"The Supreme Court, 1993 Term",William,N,Eskridge,,Harvard Law Review,"Vol. 108, No. 1 (Nov., 1994), pp. 23-137+139-379",Law,"court, statute, presumption, state, united, federal, voting, inc, rule, racial, act, statutory, congress, right, political, congressional, canon, supreme, race, vote, constitutional, justice, grandy, concurring, district",0.794
"The Supreme Court, 1993 Term",Philip,P,Frickey,,Harvard Law Review,"Vol. 108, No. 1 (Nov., 1994), pp. 23-137+139-379",Law,"court, statute, presumption, state, united, federal, voting, inc, rule, racial, act, statutory, congress, right, political, congressional, canon, supreme, race, vote, constitutional, justice, grandy, concurring, district",0.794
"The Supreme Court, 1993 Term",Lani,,Guinier,,Harvard Law Review,"Vol. 108, No. 1 (Nov., 1994), pp. 23-137+139-379",Law,"court, statute, presumption, state, united, federal, voting, inc, rule, racial, act, statutory, congress, right, political, congressional, canon, supreme, race, vote, constitutional, justice, grandy, concurring, district",0.794
"The Supreme Court, 1996 Term",Richard,H,Fallon,,Harvard Law Review,"Vol. 111, No. 1 (Nov., 1997), pp. 51-195+197-439",Law,"test, constitutional, supra, court, purpose, clause, statute, concurring, governmental, doctrine, judicial, supreme, forbidden, ely, impermissible, surrogate, balancing, scalia, rev, government, justice, protection, amendment, political, theory",0.7355
"The Supreme Court, 1996 Term",Michael,W,McConnell,,Harvard Law Review,"Vol. 111, No. 1 (Nov., 1997), pp. 51-195+197-439",Law,"test, constitutional, supra, court, purpose, clause, statute, concurring, governmental, doctrine, judicial, supreme, forbidden, ely, impermissible, surrogate, balancing, scalia, rev, government, justice, protection, amendment, political, theory",0.7355
"The Supreme Court, 2000 Term",Larry,D,Kramer,,Harvard Law Review,"Vol. 115, No. 1 (Nov., 2001), pp. 1-304+306-550",Law,"supra, madison, constitution, federalist, judicial, court, party, constitutional, supreme, marbury, jefferson, republican, politics, judge, state, supremacy, marshall, legislature, congress, government, people, snowiss, judiciary, federal, authority",0.6631
"The Supreme Court, 2000 Term",Laurence,H,Tribe,,Harvard Law Review,"Vol. 115, No. 1 (Nov., 2001), pp. 1-304+306-550",Law,"supra, madison, constitution, federalist, judicial, court, party, constitutional, supreme, marbury, jefferson, republican, politics, judge, state, supremacy, marshall, legislature, congress, government, people, snowiss, judiciary, federal, authority",0.6631
"The Supreme Court, 1984 Term",Derrick,,Bell,,Harvard Law Review,"Vol. 99, No. 1 (Nov., 1985), pp. 1-2+4-118+120-329",Law,"court, state, league, immunity, garcia, dissenting, justice, amendment, city, eeoc, connor, congress, federal, hodel, rehnquist, national, lochner, power, powell, ferc, tenth, regulation, constitutional, geneva, commerce",0.6707
"The Supreme Court, 1984 Term",Martha,A,Field,,Harvard Law Review,"Vol. 99, No. 1 (Nov., 1985), pp. 1-2+4-118+120-329",Law,"court, state, league, immunity, garcia, dissenting, justice, amendment, city, eeoc, connor, congress, federal, hodel, rehnquist, national, lochner, power, powell, ferc, tenth, regulation, constitutional, geneva, commerce",0.6707
"The Supreme Court, 1988 Term",Erwin,,Chemerinsky,,Harvard Law Review,"Vol. 103, No. 1 (Nov., 1989), pp. 40-135+137-401",Law,"court, constitutional, judicial, justice, framer, constitution, majoritarian, rehnquist, abortion, originalism, choice, decision, decisionmaking, supra, intent, government, supreme, imposition, majoritarianism, bork, judiciary, protecting, webster, roe, tradition",0.7073
"The Supreme Court, 1988 Term",Frances,,Olsen,,Harvard Law Review,"Vol. 103, No. 1 (Nov., 1989), pp. 40-135+137-401",Law,"court, constitutional, judicial, justice, framer, constitution, majoritarian, rehnquist, abortion, originalism, choice, decision, decisionmaking, supra, intent, government, supreme, imposition, majoritarianism, bork, judiciary, protecting, webster, roe, tradition",0.7073
"The Supreme Court, 1980 Term",Lawrence,Gene,Sager,,Harvard Law Review,"Vol. 95, No. 1 (Nov., 1981), pp. 17-89+91-345",Law,"court, federal, constitutional, congress, jurisdiction, state, tarble, relief, supreme, remedy, statute, jurisdictional, supra, judicial, iowa, justice, claimant, coercive, claim, brennan, case, official, truck, mccardle, motive",0.7648
Miscarriages of Justice in Potentially Capital Cases,Hugo,Adam,Bedau,,The Hastings Center Report,"Vol. 9, No. 1 (Feb., 1979), pp. 16-17","Law, Health Policy","death, condemn, organ, donation, prisoner, legislature, person, meaningful, execution, capital, punishment, execute, lethal, stipulate, ishment, convict, alabama, execu, donate, murderer, request, transplant, corpse, possibility, humanely",
Miscarriages of Justice in Potentially Capital Cases,Michael,L,Radelet,,The Hastings Center Report,"Vol. 9, No. 1 (Feb., 1979), pp. 16-17","Law, Health Policy","death, condemn, organ, donation, prisoner, legislature, person, meaningful, execution, capital, punishment, execute, lethal, stipulate, ishment, convict, alabama, execu, donate, murderer, request, transplant, corpse, possibility, humanely",
A Concluding Note,Hugo,Adam,Bedau,,Ethics,"Vol. 81, No. 1 (Oct., 1970), p. 76",,"penalty, paragraph, deterrent, column, evidence, criticism, demonstration, death, choose, critique, claim, original, statistical, reader, argument",0.3737
CIVIL DISOBEDIENCE AND PERSONAL RESPONSIBILITY FOR INJUSTICE,Hugo,Adam,Bedau,,The Monist,"Vol. 54, No. 4, Legal Obligation and Civil Disobedience (October, 1970), pp. 517-535","Law, Philosophy, Political Science","disobedience, injustice, thoreau, civil, act, responsibility, protest, principle, indirect, fortas, tax, government, griswold, disobedi, law, vicarious, justified, argument, fault, person, responsible, unjust, thoreauvian, protester, direct",
Feinberg's Liberal Theory of Punishment,Hugo,Adam,Bedau,,Buffalo Criminal Law Review,"Vol. 5, No. 1 (April 2001), pp. 103-144","Law, Philosophy","feinberg, punishment, supra, offender, harm, retributivism, wrongdoing, theory, hart, moral, justifying, harmless, principle, retributive, penalty, crime, deserving, philosophy, version, punished, retribution, reprobation, joel, hereinafter, offense",0.0555
Retribution and the Theory of Punishment,Hugo,Adam,Bedau,,The Journal of Philosophy,"Vol. 75, No. 11 (Nov., 1978), pp. 601-620","Philosophy, Law","punishment, retributive, desert, theory, principle, retribution, offender, crime, penalty, hirsch, punish, model, deserve, victim, justification, proportionality, culpability, sellin, justice, concept, wolfgang, question",0.7256
Soundness of Mind and 'Mental Setting',Hugo,Adam,Bedau,,The Hastings Center Report,"Vol. 10, No. 2 (Apr., 1980), pp. 46-48","Law, Philosophy","mental, rational, defendant, conduct, disability, doctrine, excuse, capacity, criminal, defense, author, concept, addiction, insanity, murder, offense, intent, homicidal, drunk, legal, culpability, disappoint, irrationality, intoxication, defect",
